Grid,cutset,N,sample_num,log10(part),"time in sec	 "
Grids_14,2,10000,8,424.8042204,128.3991189
Grids_14,2,10000,9,426.2197994,128.3804197
Grids_14,2,20000,0,419.302754,256.6752121
Grids_14,2,20000,1,443.3379231,256.7064486
Grids_17,4,100,4,1122.014024,6.551678896
Grids_17,4,1000,4,1108.712015,64.36251402
Grids_17,4,10000,4,1104.720025,643.5303204
Grids_17,4,20000,4,1099.814163,1287.740342
Grids_14,2,20000,2,433.9419725,256.7922919
Grids_14,2,20000,3,450.3782866,256.7706754
Grids_14,2,20000,4,446.8703879,256.118804
Grids_14,2,20000,5,445.605309,256.8857141
Grids_14,2,20000,6,447.3556094,256.7990692
Grids_17,3,100,0,1112.232963,5.974992752
Grids_17,3,1000,0,1099.275172,59.16811299
Grids_17,3,10000,0,1065.606674,589.7619786
Grids_17,3,20000,0,1061.688698,1179.477581
Grids_14,2,20000,7,439.2286923,257.0086794
Grids_14,2,20000,8,437.3050755,256.6716261
Grids_14,2,20000,9,451.1223524,256.4861667
Grids_14,3,100,0,427.0419457,1.656981468
Grids_14,3,100,1,424.4618346,1.648719549
Grids_14,3,100,2,425.0590937,1.645750523
Grids_14,3,100,3,425.2827176,1.648548126
Grids_14,3,100,4,426.1530816,1.652680635
Grids_14,3,100,5,428.1479882,1.650750399
Grids_14,3,100,6,426.1629337,1.648800135
Grids_14,3,100,7,424.5232219,1.655071735
Grids_14,3,100,8,427.6813296,1.655741215
Grids_14,3,100,9,428.0029685,1.648818731
Grids_14,3,1000,0,429.615337,16.48211098
Grids_14,3,1000,1,428.7500501,16.46686292
Grids_14,3,1000,2,427.4639559,16.46741223
Grids_14,3,1000,3,427.7093775,16.81346846
Grids_14,3,1000,4,427.9921685,16.45897698
Grids_14,3,1000,5,428.003305,16.45774031
Grids_14,3,1000,6,434.0722547,16.47983813
Grids_14,3,1000,7,428.4251038,16.48352194
Grids_14,3,1000,8,429.9454771,16.49288273
Grids_14,3,1000,9,427.0816521,16.41587186
Grids_14,3,10000,0,441.3363924,165.2875848
Grids_17,3,100,1,1101.062601,5.697247744
Grids_17,3,1000,1,1091.471993,56.12085819
Grids_17,3,10000,1,1082.929131,563.4775195
Grids_17,3,20000,1,1086.191185,1125.531881
Grids_14,3,10000,1,450.8908154,165.0297186
Grids_14,3,10000,2,438.0133118,165.8463898
Grids_14,3,10000,3,453.564902,165.0794973
Grids_14,3,10000,4,452.5662006,165.5142229
Grids_14,3,10000,5,430.331041,164.9476974
Grids_14,3,10000,6,437.2579042,164.9854662
Grids_14,3,10000,7,448.7540112,164.7213469
Grids_17,3,100,2,1104.715339,5.929980278
Grids_17,3,1000,2,1094.76382,56.97628808
Grids_17,3,10000,2,1093.406957,569.4960091
Grids_17,3,20000,2,1090.949397,1137.226037
Grids_14,3,10000,8,434.3057558,165.2705688
Grids_14,3,10000,9,445.6650732,165.4641385
Grids_14,3,20000,0,433.669258,330.0928001
Grids_14,3,20000,1,430.9604786,330.6649873
Grids_17,3,100,3,1105.376978,5.7234056
Grids_17,3,1000,3,1093.580388,56.47550631
Grids_17,3,10000,3,1092.48211,565.1232665
Grids_17,3,20000,3,1087.359754,1130.201559
Grids_14,3,20000,2,433.9234466,330.1402204
Grids_14,3,20000,3,443.9711633,330.7730269
Grids_14,3,20000,4,449.8308431,330.5277674
Grids_17,3,100,4,1103.149621,5.709655285
Grids_17,3,1000,4,1091.791288,56.26331687
Grids_17,3,10000,4,1086.255272,562.2237597
Grids_17,3,20000,4,1073.891078,1125.330713
Grids_14,3,20000,5,447.274156,330.2435315
Grids_14,3,20000,6,452.9453157,331.0582166
Grids_14,3,20000,7,452.0765898,330.3215775
Grids_17,2,100,0,1002.909953,4.590552092
Grids_17,2,1000,0,1001.347858,44.88385749
Grids_17,2,10000,0,989.0657393,450.1625619
